id_transacao,data_venda,usuario_id,vinho_id,nome_vinho,tipo_vinho,pais_origem,regiao_vinho,safra,preco_unitario,quantidade,valor_linha,canal_venda,uf_cliente,cidade_cliente,segmento_cliente,forma_pagamento,nota_giulio,dias_desde_cadastro,qtd_pedidos_anteriores,qtd_favoritos,frete_gratis,mes_venda,dia_semana,idade_safra_anos,venda_sucesso
1,2025-04-25,9,4,Malbec Reserva,Tinto Seco,Argentina,Mendoza,2020,180.00,1,180.00,Evento Degustacao,PE,Recife,Recorrente,Cartao Credito,4,410,6,0,0,4,Sexta,6,1
2,2024-03-18,15,7,Sauvignon Blanc,Branco Seco,Nova Zelandia,Marlborough,2022,150.00,2,300.00,WhatsApp Giulio,SC,Florianopolis,Novo,PIX,3,63,0,5,0,3,Terca,4,0
3,2024-07-25,12,1,Brunello di Montalcino,Tinto Seco,Italia,Toscana,2016,890.00,2,1780.00,Instagram,MG,Uberlandia,Recorrente,PIX,5,343,7,2,1,7,Quinta,10,1
4,2024-12-09,19,2,Barolo Riserva,Tinto Seco,Italia,Piemonte,2015,1250.00,1,1250.00,Site Vinheria,SP,Sao Paulo,Recorrente,Boleto,5,677,5,4,1,12,Terca,11,1
5,2024-04-07,24,2,Barolo Riserva,Tinto Seco,Italia,Piemonte,2015,1250.00,1,1250.00,Instagram,SC,Florianopolis,Recorrente,PIX,5,401,23,2,1,4,Domingo,11,0
6,2024-06-08,22,5,Douro Reserva,Tinto Seco,Portugal,Douro,2018,310.00,2,620.00,Instagram,RS,Gramado,Recorrente,Cartao Credito,4,98,24,2,1,6,Sabado,8,1
7,2025-01-12,13,4,Malbec Reserva,Tinto Seco,Argentina,Mendoza,2020,180.00,1,180.00,Site Vinheria,RS,Porto Alegre,Recorrente,Cartao Credito,4,332,2,3,0,1,Segunda,6,1
8,2025-04-14,1,3,Chablis Premier Cru,Branco Seco,Franca,Borgonha,2019,420.00,2,840.00,Marketplace Parceiro,SP,Sao Paulo,Novo,PIX,4,477,0,4,1,4,Segunda,7,0
9,2025-02-23,24,2,Barolo Riserva,Tinto Seco,Italia,Piemonte,2015,1250.00,2,2500.00,Marketplace Parceiro,SC,Florianopolis,Recorrente,PIX,5,401,23,2,1,2,Segunda,11,0
10,2024-12-19,11,6,Rioja Gran Reserva,Tinto Seco,Espanha,Rioja,2014,560.00,2,1120.00,Site Vinheria,RJ,Rio de Janeiro,Premium,Boleto,5,518,19,3,1,12,Sexta,12,0
11,2024-04-10,30,2,Barolo Riserva,Tinto Seco,Italia,Piemonte,2015,1250.00,1,1250.00,WhatsApp Giulio,MG,Uberlandia,Recorrente,PIX,5,847,4,2,1,4,Quarta,11,1
12,2025-01-20,5,7,Sauvignon Blanc,Branco Seco,Nova Zelandia,Marlborough,2022,150.00,1,150.00,Instagram,PR,Curitiba,Novo,PIX,3,174,0,1,0,1,Terca,4,1
13,2024-09-16,29,5,Douro Reserva,Tinto Seco,Portugal,Douro,2018,310.00,1,310.00,Marketplace Parceiro,RJ,Rio de Janeiro,Recorrente,Cartao Credito,4,13,17,2,0,9,Segunda,8,1
14,2024-07-04,3,7,Sauvignon Blanc,Branco Seco,Nova Zelandia,Marlborough,2022,150.00,1,150.00,Evento Degustacao,MG,Belo Horizonte,Recorrente,Cartao Credito,3,482,7,0,0,7,Quinta,4,1
15,2024-02-11,7,7,Sauvignon Blanc,Branco Seco,Nova Zelandia,Marlborough,2022,150.00,1,150.00,WhatsApp Giulio,DF,Brasilia,Premium,Cartao Credito,3,668,2,3,0,2,Segunda,4,1
16,2024-08-30,21,2,Barolo Riserva,Tinto Seco,Italia,Piemonte,2015,1250.00,3,3750.00,Site Vinheria,MG,Belo Horizonte,Recorrente,PIX,5,347,6,3,1,8,Sexta,11,1
17,2024-09-19,29,5,Douro Reserva,Tinto Seco,Portugal,Douro,2018,310.00,1,310.00,Instagram,RJ,Rio de Janeiro,Recorrente,Cartao Credito,4,13,17,2,0,9,Quinta,8,1
18,2024-02-09,12,7,Sauvignon Blanc,Branco Seco,Nova Zelandia,Marlborough,2022,150.00,3,450.00,WhatsApp Giulio,MG,Uberlandia,Recorrente,Boleto,3,343,7,2,0,2,Sabado,4,0
19,2025-03-28,8,5,Douro Reserva,Tinto Seco,Portugal,Douro,2018,310.00,1,310.00,Evento Degustacao,BA,Salvador,Novo,Cartao Credito,4,781,0,2,0,3,Sabado,8,1
20,2024-01-26,27,8,Amarone della Valpolicella,Tinto Seco,Italia,Veneto,2017,780.00,1,780.00,Marketplace Parceiro,PE,Recife,Recorrente,Cartao Credito,5,314,8,2,1,1,Sabado,9,1
21,2024-10-31,15,5,Douro Reserva,Tinto Seco,Portugal,Douro,2018,310.00,1,310.00,Evento Degustacao,SC,Florianopolis,Novo,Cartao Credito,4,63,0,5,0,11,Sexta,8,0
22,2024-02-27,4,7,Sauvignon Blanc,Branco Seco,Nova Zelandia,Marlborough,2022,150.00,3,450.00,WhatsApp Giulio,RS,Gramado,Premium,Boleto,3,815,11,1,0,2,Quarta,4,1
23,2025-02-15,30,8,Amarone della Valpolicella,Tinto Seco,Italia,Veneto,2017,780.00,1,780.00,Marketplace Parceiro,MG,Uberlandia,Recorrente,PIX,5,847,4,2,1,2,Domingo,9,1
24,2025-01-19,10,1,Brunello di Montalcino,Tinto Seco,Italia,Toscana,2016,890.00,4,3560.00,Marketplace Parceiro,SP,Sao Paulo,Novo,Cartao Credito,5,899,0,5,1,1,Segunda,10,0
25,2024-08-15,5,4,Malbec Reserva,Tinto Seco,Argentina,Mendoza,2020,180.00,1,180.00,Instagram,PR,Curitiba,Novo,PIX,4,174,0,1,0,8,Quinta,6,0
26,2024-09-16,22,2,Barolo Riserva,Tinto Seco,Italia,Piemonte,2015,1250.00,1,1250.00,Evento Degustacao,RS,Gramado,Recorrente,Cartao Debito,5,98,24,2,1,9,Segunda,11,1
27,2024-07-22,25,3,Chablis Premier Cru,Branco Seco,Franca,Borgonha,2019,420.00,1,420.00,Instagram,DF,Brasilia,Corporativo,Cartao Debito,4,293,20,5,0,7,Segunda,7,1
28,2024-10-07,19,1,Brunello di Montalcino,Tinto Seco,Italia,Toscana,2016,890.00,2,1780.00,Site Vinheria,SP,Sao Paulo,Recorrente,Cartao Credito,5,677,5,4,1,10,Terca,10,1
29,2024-12-26,12,8,Amarone della Valpolicella,Tinto Seco,Italia,Veneto,2017,780.00,1,780.00,Instagram,MG,Uberlandia,Recorrente,PIX,5,343,7,2,1,12,Sexta,9,1
30,2024-04-01,16,1,Brunello di Montalcino,Tinto Seco,Italia,Toscana,2016,890.00,3,2670.00,Site Vinheria,DF,Brasilia,Recorrente,Cartao Credito,5,85,24,2,1,4,Terca,10,1
31,2024-12-29,2,3,Chablis Premier Cru,Branco Seco,Franca,Borgonha,2019,420.00,2,840.00,Site Vinheria,RJ,Niteroi,Recorrente,PIX,4,343,5,5,1,12,Segunda,7,1
32,2025-05-21,3,7,Sauvignon Blanc,Branco Seco,Nova Zelandia,Marlborough,2022,150.00,2,300.00,Evento Degustacao,MG,Belo Horizonte,Recorrente,Cartao Credito,3,482,7,0,0,5,Quarta,4,1
33,2024-08-01,22,3,Chablis Premier Cru,Branco Seco,Franca,Borgonha,2019,420.00,2,840.00,Instagram,RS,Gramado,Recorrente,Cartao Debito,4,98,24,2,1,8,Quinta,7,1
34,2024-09-22,19,3,Chablis Premier Cru,Branco Seco,Franca,Borgonha,2019,420.00,2,840.00,WhatsApp Giulio,SP,Sao Paulo,Recorrente,PIX,4,677,5,4,1,9,Domingo,7,1
35,2024-06-20,22,7,Sauvignon Blanc,Branco Seco,Nova Zelandia,Marlborough,2022,150.00,3,450.00,WhatsApp Giulio,RS,Gramado,Recorrente,Cartao Credito,3,98,24,2,0,6,Quinta,4,1
36,2024-09-28,14,7,Sauvignon Blanc,Branco Seco,Nova Zelandia,Marlborough,2022,150.00,4,600.00,Evento Degustacao,PR,Curitiba,Novo,Cartao Debito,3,413,0,1,1,9,Sabado,4,1
37,2024-08-24,29,5,Douro Reserva,Tinto Seco,Portugal,Douro,2018,310.00,1,310.00,Instagram,RJ,Rio de Janeiro,Recorrente,Cartao Debito,4,13,17,2,0,8,Sabado,8,1
38,2025-01-12,5,3,Chablis Premier Cru,Branco Seco,Franca,Borgonha,2019,420.00,4,1680.00,Evento Degustacao,PR,Curitiba,Novo,Cartao Debito,4,174,0,1,1,1,Segunda,7,1
39,2024-12-10,14,5,Douro Reserva,Tinto Seco,Portugal,Douro,2018,310.00,2,620.00,Evento Degustacao,PR,Curitiba,Novo,PIX,4,413,0,1,1,12,Quarta,8,1
